date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:35	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:36%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrow_left.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrow_left.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:35	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:36%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrow_right.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrow_right.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:36	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:37%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/small_left_boxed.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/small_left_boxed.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:36	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:37%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/small_right_boxed.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/small_right_boxed.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:37	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:38%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrowleft.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrowleft.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:38	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:39%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrowright.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrowright.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:38	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:39%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrow_left2.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrow_left2.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:39	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:40%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrow_right2.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/arrow_right2.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:40	125/125	---M--	200	added ('OK')	image/png	date:Sat,%2010%20Dec%202016%2015:44:43%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/timer.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/timer.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:40	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:41%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/loader.gif	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/loader.gif	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
